,id,alias,name,is_closed,review_count,rating,distance,Category,Latitude,Longitude,zip_code,Review
3,k1OACTAqtyjtz2kMwsnY6w,catch22-bristol-2,Catch22,FALSE,15,4.7,1282.921929,"['Seafood', 'Fish & Chips', 'Gluten-Free']",51.452613,-2.599584,,grew city fish chips transformed wrapped newspaper sit experience malt vinegar condiments
3,k1OACTAqtyjtz2kMwsnY6w,catch22-bristol-2,Catch22,FALSE,15,4.7,1282.921929,"['Seafood', 'Fish & Chips', 'Gluten-Free']",51.452613,-2.599584,,bristol 8/17 wife 8 days place right across hotel never even noticed know
4,HZAYs8vJd3B9k5taZzz7XA,the-cowshed-bristol,The Cowshed,FALSE,23,4.3,1559.14692,"['British', 'Steakhouses']",51.4637981,-2.609407,BS8 2NH,vegetarian whenever anybody suggests meal steak joint rush panic floods eat 'm left salad may
4,HZAYs8vJd3B9k5taZzz7XA,the-cowshed-bristol,The Cowshed,FALSE,23,4.3,1559.14692,"['British', 'Steakhouses']",51.4637981,-2.609407,BS8 2NH,know 'm always little amused carnivorous restaurant advertises using smiling pig cow cowshed poster mammal
4,HZAYs8vJd3B9k5taZzz7XA,the-cowshed-bristol,The Cowshed,FALSE,23,4.3,1559.14692,"['British', 'Steakhouses']",51.4637981,-2.609407,BS8 2NH,place specialises comfort food done high standards means food warm cockles fill also happens well presented
5,nsbxwOpoGy01-uA6tHAG1w,riverstation-bristol,Riverstation,FALSE,27,4.1,1374.241484,['British'],51.44962095,-2.594060898,BS1 4RB,place amazing whether romantic three-course meal business meal clients relaxing pint glass wine summer sun
5,nsbxwOpoGy01-uA6tHAG1w,riverstation-bristol,Riverstation,FALSE,27,4.1,1374.241484,['British'],51.44962095,-2.594060898,BS1 4RB,ate recently group 9 colleagues good meal restaurant nice harbourside location close equally
5,nsbxwOpoGy01-uA6tHAG1w,riverstation-bristol,Riverstation,FALSE,27,4.1,1374.241484,['British'],51.44962095,-2.594060898,BS1 4RB,elegant riverstation clean contemporary design takes full advantage waterside location huge glass windows light space
6,HyGo-xngGk81ikz_9eMNTg,the-cambridge-arms-avon,The Cambridge Arms,FALSE,20,4.7,2179.400437,"['Pubs', 'British']",51.474097,-2.610628,BS6 7JS,lovely local pub large beer garden good service friendly staff eaten recently christmas several years ago
6,HyGo-xngGk81ikz_9eMNTg,the-cambridge-arms-avon,The Cambridge Arms,FALSE,20,4.7,2179.400437,"['Pubs', 'British']",51.474097,-2.610628,BS6 7JS,bookmarking pub christmas finally managed visit summer sit fabulous beer garden instead ate sunday roast
6,HyGo-xngGk81ikz_9eMNTg,the-cambridge-arms-avon,The Cambridge Arms,FALSE,20,4.7,2179.400437,"['Pubs', 'British']",51.474097,-2.610628,BS6 7JS,cambridge arms lovely country pub based redland really surprised go matter season
7,Y-s8j4AJUHvxhC2x7L2Nuw,the-bristolian-bristol,The Bristolian,FALSE,22,4.3,424.1440809,"['Coffee & Tea', 'Breakfast & Brunch', 'Bistros']",51.46486927,-2.589140331,BS6 5QA,american always struggled enjoy full english breakfast guess baked beans generally eat baked beans breakfast
7,Y-s8j4AJUHvxhC2x7L2Nuw,the-bristolian-bristol,The Bristolian,FALSE,22,4.3,424.1440809,"['Coffee & Tea', 'Breakfast & Brunch', 'Bistros']",51.46486927,-2.589140331,BS6 5QA,stayed bristol days recently came across place online decided go since 5 minutes walking place ended
7,Y-s8j4AJUHvxhC2x7L2Nuw,the-bristolian-bristol,The Bristolian,FALSE,22,4.3,424.1440809,"['Coffee & Tea', 'Breakfast & Brunch', 'Bistros']",51.46486927,-2.589140331,BS6 5QA,love food especially quesadilla chorizo love atmosfere always calm pleasant love homemade lemonade everyone really nice
8,hglm2hCL9El-2w7dxyf4oQ,the-apple-bristol,The Apple,FALSE,32,4.3,1092.609549,"['Pubs', 'British']",51.451925,-2.592323,BS1 4SB,friend michelle said cider pub boat knew come small pub serves cider food
8,hglm2hCL9El-2w7dxyf4oQ,the-apple-bristol,The Apple,FALSE,32,4.3,1092.609549,"['Pubs', 'British']",51.451925,-2.592323,BS1 4SB,great rotation ciders tap wonderful outdoor seating area ambiance great place try interesting ciders relax river
8,hglm2hCL9El-2w7dxyf4oQ,the-apple-bristol,The Apple,FALSE,32,4.3,1092.609549,"['Pubs', 'British']",51.451925,-2.592323,BS1 4SB,bristol riverside one nicest locations bit pub crawl apple one popular places vicinity
9,eJlSrVOtxGqxxL25JM83-Q,lido-bristol-3,Lido,FALSE,28,4.2,1671.402678,"['Day Spas', 'Swimming Pools', 'Modern European']",51.45963504,-2.611268356,BS8 2BJ,went lunch friends wheat dairy intolerant waitress spoke chef marked dish details
9,eJlSrVOtxGqxxL25JM83-Q,lido-bristol-3,Lido,FALSE,28,4.2,1671.402678,"['Day Spas', 'Swimming Pools', 'Modern European']",51.45963504,-2.611268356,BS8 2BJ,food amazing 'll dreaming peach tomato salad issue alerted kitchen twice prior
9,eJlSrVOtxGqxxL25JM83-Q,lido-bristol-3,Lido,FALSE,28,4.2,1671.402678,"['Day Spas', 'Swimming Pools', 'Modern European']",51.45963504,-2.611268356,BS8 2BJ,shop lot nice good food reasonable prices need help finding something ask worker friendly helpful
10,xu9Xzzto3gjM6pS1xG-u-w,urban-tandoor-bristol,Urban Tandoor,FALSE,15,4.7,869.4564869,['Indian'],51.45500624,-2.594866092,BS1 1DE,best indian food life service impeccable friendly professional welcoming setting spot thank
10,xu9Xzzto3gjM6pS1xG-u-w,urban-tandoor-bristol,Urban Tandoor,FALSE,15,4.7,869.4564869,['Indian'],51.45500624,-2.594866092,BS1 1DE,best indian ever flavorful great vibe accommodating staff beer great
10,xu9Xzzto3gjM6pS1xG-u-w,urban-tandoor-bristol,Urban Tandoor,FALSE,15,4.7,869.4564869,['Indian'],51.45500624,-2.594866092,BS1 1DE,must-visit indian curry spot bristol outstanding multi-dimensional flavors rival many top spots 'm used new
11,JqP2EiSIrsph6LNtIcpX0g,zerodegrees-bristol-3,Zerodegrees,FALSE,50,3.8,889.9744956,"['Breweries', 'Bars', 'Pizza']",51.4564945,-2.59763011,BS1 5BA,today never zero degrees never really thought honest experience definitely
11,JqP2EiSIrsph6LNtIcpX0g,zerodegrees-bristol-3,Zerodegrees,FALSE,50,3.8,889.9744956,"['Breweries', 'Bars', 'Pizza']",51.4564945,-2.59763011,BS1 5BA,times really recommend white wine garlic based pastas/pizza especially mushroom pizza salmon rocket pizza chicken risotto
11,JqP2EiSIrsph6LNtIcpX0g,zerodegrees-bristol-3,Zerodegrees,FALSE,50,3.8,889.9744956,"['Breweries', 'Bars', 'Pizza']",51.4564945,-2.59763011,BS1 5BA,today zero degrees would place 'd considered lunch would place 'd consider anything
12,zL7K-14494XwekRVrKNe-g,boston-tea-party-bristol,Boston Tea Party,FALSE,58,4.1,1332.918535,"['Coffee & Tea', 'British', 'Breakfast & Brunch']",51.45513087,-2.603837512,BS1 5PF,perfect american brunch face long day ahead sunday absolutely try boston tea party breakfast love powerful american
12,zL7K-14494XwekRVrKNe-g,boston-tea-party-bristol,Boston Tea Party,FALSE,58,4.1,1332.918535,"['Coffee & Tea', 'British', 'Breakfast & Brunch']",51.45513087,-2.603837512,BS1 5PF,incredible experience btp staff great smile soon walk also initiative single use clear
12,zL7K-14494XwekRVrKNe-g,boston-tea-party-bristol,Boston Tea Party,FALSE,58,4.1,1332.918535,"['Coffee & Tea', 'British', 'Breakfast & Brunch']",51.45513087,-2.603837512,BS1 5PF,british breakfast new thing american touches things strikingly different wish
13,DaDfOvsgsF4HQNKv4QJgHQ,gourmet-burger-kitchen-bristol,Gourmet Burger Kitchen,FALSE,41,3.8,1302.756718,"['American', 'Burgers']",51.4551206,-2.6033227,BS1 5JX,needed grab quick bite show 02 trick quinoa salad avocado chorizo terribly filling
13,DaDfOvsgsF4HQNKv4QJgHQ,gourmet-burger-kitchen-bristol,Gourmet Burger Kitchen,FALSE,41,3.8,1302.756718,"['American', 'Burgers']",51.4551206,-2.6033227,BS1 5JX,eating.drinking gourmet burger kitchen gbkburgers offer incredible selection incredible burgers cooked perfection personal
13,DaDfOvsgsF4HQNKv4QJgHQ,gourmet-burger-kitchen-bristol,Gourmet Burger Kitchen,FALSE,41,3.8,1302.756718,"['American', 'Burgers']",51.4551206,-2.6033227,BS1 5JX,oh bloody hell yelp uk first thing could search best lamb burger ever yes gbk gourmet
14,xwByp3ml87_EKRZn3QnJqQ,glass-boat-restaurant-bristol,Glass Boat Restaurant,FALSE,27,3.9,916.608434,['Modern European'],51.45356566,-2.592129707,BS1 4SB,great ambiance casual yet place nice dinner and/or date wonderful server table .. lovely young lady france
14,xwByp3ml87_EKRZn3QnJqQ,glass-boat-restaurant-bristol,Glass Boat Restaurant,FALSE,27,3.9,916.608434,['Modern European'],51.45356566,-2.592129707,BS1 4SB,place absolutely gorgeous unfortunately positive impression ends walked acknowledged greeted
14,xwByp3ml87_EKRZn3QnJqQ,glass-boat-restaurant-bristol,Glass Boat Restaurant,FALSE,27,3.9,916.608434,['Modern European'],51.45356566,-2.592129707,BS1 4SB,better eating well roasted meats thoughtfully designed dining room boat center bristol intelligent attentive
15,qLXy0CnRxLoy6YNw2xy5uw,eat-a-pitta-bristol-2,Eat a Pitta,FALSE,11,4.9,891.0193197,"['Vegetarian', 'Farmers Market']",51.45462687,-2.594554091,BS1 1LJ,st nicks market truly amazing place lots small independent stalls inside outside amazing stretch `` street food '' stalls
15,qLXy0CnRxLoy6YNw2xy5uw,eat-a-pitta-bristol-2,Eat a Pitta,FALSE,11,4.9,891.0193197,"['Vegetarian', 'Farmers Market']",51.45462687,-2.594554091,BS1 1LJ,really good food really nice guys work landed flight 2hr uber drive starving kind walked
15,qLXy0CnRxLoy6YNw2xy5uw,eat-a-pitta-bristol-2,Eat a Pitta,FALSE,11,4.9,891.0193197,"['Vegetarian', 'Farmers Market']",51.45462687,-2.594554091,BS1 1LJ,one st nick many little gems firm favourite lunch huge portions homemade salads hummus delicious dressings make sure
16,fBIxp1apskV7dNJCVTKHSA,chomp-bristol,Chomp,FALSE,10,4.3,881.4383108,"['Burgers', 'Steakhouses']",51.454119,-2.592731,BS1 1UQ,love place warm welcome door waitress bit nervous think bless attentive pleasant cool interior
16,fBIxp1apskV7dNJCVTKHSA,chomp-bristol,Chomp,FALSE,10,4.3,881.4383108,"['Burgers', 'Steakhouses']",51.454119,-2.592731,BS1 1UQ,good see small business work way small van outside temple meads running full size restaurant st nicks past
16,fBIxp1apskV7dNJCVTKHSA,chomp-bristol,Chomp,FALSE,10,4.3,881.4383108,"['Burgers', 'Steakhouses']",51.454119,-2.592731,BS1 1UQ,bigger subjective topic almighty burger collective love yet individual taste makes one life difficult
17,HroXOJSkxdKWP166g-4Gzw,renatos-bristol,Renatos,FALSE,19,4.3,1163.651838,"['Pizza', 'Bars']",51.45189512,-2.594855448,BS1 4EF,bar encapsulated bristol spirit renatos like bristol unpretentious super cool full eclectic
17,HroXOJSkxdKWP166g-4Gzw,renatos-bristol,Renatos,FALSE,19,4.3,1163.651838,"['Pizza', 'Bars']",51.45189512,-2.594855448,BS1 4EF,renatos bristol institution run generations family nearly 5 decades building amazing old bristol building worth
17,HroXOJSkxdKWP166g-4Gzw,renatos-bristol,Renatos,FALSE,19,4.3,1163.651838,"['Pizza', 'Bars']",51.45189512,-2.594855448,BS1 4EF,right next old vic renatos pin map good places go bristol really nice atmosphere fairly cheap prices open fire
18,QOHmesD438ECUtKlTB8glQ,cafe-kino-bristol,Cafe Kino,FALSE,30,4.2,353.0938633,"['Coffee & Tea', 'Vegetarian', 'Music Venues']",51.46408917,-2.589514749,BS1 3RU,lovely place sit enjoy bristol staff lovely good vibes around would recommend want somewhere brighten
18,QOHmesD438ECUtKlTB8glQ,cafe-kino-bristol,Cafe Kino,FALSE,30,4.2,353.0938633,"['Coffee & Tea', 'Vegetarian', 'Music Venues']",51.46408917,-2.589514749,BS1 3RU,start cafe kino 'the one 'm actually embarrassed admit lived opposite cafe kino year never
18,QOHmesD438ECUtKlTB8glQ,cafe-kino-bristol,Cafe Kino,FALSE,30,4.2,353.0938633,"['Coffee & Tea', 'Vegetarian', 'Music Venues']",51.46408917,-2.589514749,BS1 3RU,philosophy good one bake therefore reflected rows sticky cakes flapjacks window also reflected
19,Mp7gaB9TO8T0iTWJ4WjAaQ,pieminister-st-nicks-market-bristol,Pieminister @ St Nick's Market,FALSE,25,4.4,973.5174159,"['British', 'Specialty Food']",51.45372217,-2.594494495,BS1 1JQ,believe pies really good moo mooblue excellent choose 'd go extra blue cheese flavor
19,Mp7gaB9TO8T0iTWJ4WjAaQ,pieminister-st-nicks-market-bristol,Pieminister @ St Nick's Market,FALSE,25,4.4,973.5174159,"['British', 'Specialty Food']",51.45372217,-2.594494495,BS1 1JQ,food disgusting think 'll ever come back food like disgust inside 2 'd know inside 2
19,Mp7gaB9TO8T0iTWJ4WjAaQ,pieminister-st-nicks-market-bristol,Pieminister @ St Nick's Market,FALSE,25,4.4,973.5174159,"['British', 'Specialty Food']",51.45372217,-2.594494495,BS1 1JQ,wow lived east end london month first proper pie mash bristol yank st nick market charming
20,4EkB7wOI3fToGQZuUuz4Lg,san-carlo-restaurant-bristol,San Carlo Restaurant,FALSE,25,4,888.0670942,"['Italian', 'Mediterranean', 'Pizza']",51.45444636,-2.594031949,BS1 1HQ,really nice food reasonable price venue service really good definitely returning soon
20,4EkB7wOI3fToGQZuUuz4Lg,san-carlo-restaurant-bristol,San Carlo Restaurant,FALSE,25,4,888.0670942,"['Italian', 'Mediterranean', 'Pizza']",51.45444636,-2.594031949,BS1 1HQ,visited san carlo restaurant bristol months ago really looking forward 'd wanting go time one
20,4EkB7wOI3fToGQZuUuz4Lg,san-carlo-restaurant-bristol,San Carlo Restaurant,FALSE,25,4,888.0670942,"['Italian', 'Mediterranean', 'Pizza']",51.45444636,-2.594031949,BS1 1HQ,go bad service bad food every time english person came offered cheaper lunch special every time tourist came
21,wr5SzS7WtYTYh0UTPsoVhg,steak-of-the-art-bristol,Steak of the Art,FALSE,11,4.4,1682.693484,['Steakhouses'],51.44963003,-2.602866386,BS1 5TT,great steak reasonable price sausage vegetable plates rump steak sea bass good much better
21,wr5SzS7WtYTYh0UTPsoVhg,steak-of-the-art-bristol,Steak of the Art,FALSE,11,4.4,1682.693484,['Steakhouses'],51.44963003,-2.602866386,BS1 5TT,stopped hoping nice steak dinner impressed unique decor slow service mediocre food left palette disappointed booked
21,wr5SzS7WtYTYh0UTPsoVhg,steak-of-the-art-bristol,Steak of the Art,FALSE,11,4.4,1682.693484,['Steakhouses'],51.44963003,-2.602866386,BS1 5TT,space .. finest one sure name conveys right impression city full art venues serving food amongst canvas
22,7H0saU3yvCf6moInt6XJkg,cedars-express-bristol,Cedars Express,FALSE,21,4.5,1273.138688,"['Middle Eastern', 'Fast Food', 'Pizza']",51.45549287,-2.603177929,BS1 5LE,heaven taste yes value money one best lebanese kebab places personal opinion entire uk make
22,7H0saU3yvCf6moInt6XJkg,cedars-express-bristol,Cedars Express,FALSE,21,4.5,1273.138688,"['Middle Eastern', 'Fast Food', 'Pizza']",51.45549287,-2.603177929,BS1 5LE,many time aroma cooking meat drawn corner restaurant genuine middle eastern lebanese precise fare done
22,7H0saU3yvCf6moInt6XJkg,cedars-express-bristol,Cedars Express,FALSE,21,4.5,1273.138688,"['Middle Eastern', 'Fast Food', 'Pizza']",51.45549287,-2.603177929,BS1 5LE,definitely one best fast food places ever high quality meat good prices great tasting
23,568xwvBABoeXSCjML_D_6A,the-bristol-sausage-shop-bristol,The Bristol Sausage Shop,FALSE,15,4.8,524.2997238,"['Meat Shops', 'Fast Food']",51.45684151,-2.590026855,BS1,glad see shop get great reviews really deserve offer delicious range sausages like sort sausage pick
23,568xwvBABoeXSCjML_D_6A,the-bristol-sausage-shop-bristol,The Bristol Sausage Shop,FALSE,15,4.8,524.2997238,"['Meat Shops', 'Fast Food']",51.45684151,-2.590026855,BS1,like sausage full meat fnarr fnarr stall locally sourced pork beef venison sausages range herbs
23,568xwvBABoeXSCjML_D_6A,the-bristol-sausage-shop-bristol,The Bristol Sausage Shop,FALSE,15,4.8,524.2997238,"['Meat Shops', 'Fast Food']",51.45684151,-2.590026855,BS1,said 'best bangers bristol 'd probably think scriptwriter latent carry film silly 'm talking
24,yhlUMLZxUCjWALhEu6UMOA,graze-bar-and-chophouse-bristol,Graze Bar and Chophouse,FALSE,12,4.2,1266.535166,"['Lounges', 'British']",51.451076,-2.5959337,BS1 4JZ,arrived party 5 mid-august 2017 hotel right across street atmosphere modern comfy chairs service prompt
24,yhlUMLZxUCjWALhEu6UMOA,graze-bar-and-chophouse-bristol,Graze Bar and Chophouse,FALSE,12,4.2,1266.535166,"['Lounges', 'British']",51.451076,-2.5959337,BS1 4JZ,visiting new city always know go apparently making reservation saturday night bristol best idea
24,yhlUMLZxUCjWALhEu6UMOA,graze-bar-and-chophouse-bristol,Graze Bar and Chophouse,FALSE,12,4.2,1266.535166,"['Lounges', 'British']",51.451076,-2.5959337,BS1 4JZ,came following recommendation friend lives bristol went late lunch husband interview wanted celebrate
25,jR3TUuBW7MHOuCtSptCk-w,the-olive-shed-bristol,The Olive Shed,FALSE,26,4,1790.376366,"['Greek', 'Mediterranean']",51.447307,-2.600244,BS1 4RN,ralph excellent job everything welcoming explained menu detail group visiting states bristol
25,jR3TUuBW7MHOuCtSptCk-w,the-olive-shed-bristol,The Olive Shed,FALSE,26,4,1790.376366,"['Greek', 'Mediterranean']",51.447307,-2.600244,BS1 4RN,rip 1 coffee 1 tea 2 measly portions cheesecake £22 wo going back
25,jR3TUuBW7MHOuCtSptCk-w,the-olive-shed-bristol,The Olive Shed,FALSE,26,4,1790.376366,"['Greek', 'Mediterranean']",51.447307,-2.600244,BS1 4RN,looking exceptional restaurant surprise partner birthday remembered walking beautiful little hideaway restaurant
26,27kNkj_Gqzc0ka6PGF5wvg,clifton-sausage-bristol,Clifton Sausage,FALSE,33,3.8,2384.296445,"['Pubs', 'British']",51.4557271,-2.6205627,BS8 4JA,used love place make must whenever back visiting clifton sadly service terrible employees simply seem
26,27kNkj_Gqzc0ka6PGF5wvg,clifton-sausage-bristol,Clifton Sausage,FALSE,33,3.8,2384.296445,"['Pubs', 'British']",51.4557271,-2.6205627,BS8 4JA,sausage delivers awesome food every time sausages speciality menu constantly evolves duck venizen pheasant need
26,27kNkj_Gqzc0ka6PGF5wvg,clifton-sausage-bristol,Clifton Sausage,FALSE,33,3.8,2384.296445,"['Pubs', 'British']",51.4557271,-2.6205627,BS8 4JA,restaurant based around sausages new idea seemed like bit gimmick place pretty good though sausage lot
27,p9iYFTfSLcqAu_K7XVw7Mg,the-love-inn-bristol,The Love Inn,FALSE,7,4.4,273.9419394,"['Bars', 'Burgers', 'Music Venues']",51.4631561,-2.5897561,BS1 3QY,roast dinner expect good night music venue aswell kind expected food abit slack wrong
27,p9iYFTfSLcqAu_K7XVw7Mg,the-love-inn-bristol,The Love Inn,FALSE,7,4.4,273.9419394,"['Bars', 'Burgers', 'Music Venues']",51.4631561,-2.5897561,BS1 3QY,love love love love inn group us went sunday roast dinner seen another review yelp decided give go decors
27,p9iYFTfSLcqAu_K7XVw7Mg,the-love-inn-bristol,The Love Inn,FALSE,7,4.4,273.9419394,"['Bars', 'Burgers', 'Music Venues']",51.4631561,-2.5897561,BS1 3QY,last reviewed love inn back may year slight negative time food pizza offer good lot
28,WoX-ir4IxVcGX-jICBq6iA,rummer-hotel-bristol,Rummer Hotel,FALSE,19,4.1,860.6383183,"['British', 'Cocktail Bars']",51.45436,-2.59309,BS1 1JH,cocktail bar corn street often couple bouncers red rope seperating getting let put
28,WoX-ir4IxVcGX-jICBq6iA,rummer-hotel-bristol,Rummer Hotel,FALSE,19,4.1,860.6383183,"['British', 'Cocktail Bars']",51.45436,-2.59309,BS1 1JH,others said nice quite expensive bar cocktails speciality discovered spent rather drunken bank holiday
28,WoX-ir4IxVcGX-jICBq6iA,rummer-hotel-bristol,Rummer Hotel,FALSE,19,4.1,860.6383183,"['British', 'Cocktail Bars']",51.45436,-2.59309,BS1 1JH,staff meeting rummer every month whenever meeting want take salon grab drink
29,W__Yp5_4-zpn8C9SyYpS7w,brewdog-bristol,BrewDog,FALSE,14,4.5,931.6103598,"['Burgers', 'Pubs']",51.453545,-2.592724,BS1 1QW,ok know inner punk needs satisfied every visiting bristol wanted get nice ipa cheesy
29,W__Yp5_4-zpn8C9SyYpS7w,brewdog-bristol,BrewDog,FALSE,14,4.5,931.6103598,"['Burgers', 'Pubs']",51.453545,-2.592724,BS1 1QW,wish hipsters cool nice earth staff brewdog really care
29,W__Yp5_4-zpn8C9SyYpS7w,brewdog-bristol,BrewDog,FALSE,14,4.5,931.6103598,"['Burgers', 'Pubs']",51.453545,-2.592724,BS1 1QW,great beer pies xd staff awesome visit
30,KdSfxuBENgiSf14t0mLRUA,bravas-bristol,Bravas,FALSE,10,4.7,1536.245843,['Tapas/Small Plates'],51.4642906,-2.6090536,BS6,excellent every way food small plates tapas varied creative high quality anchovies vinegar base smoked sardines iberico cut like
30,KdSfxuBENgiSf14t0mLRUA,bravas-bristol,Bravas,FALSE,10,4.7,1536.245843,['Tapas/Small Plates'],51.4642906,-2.6090536,BS6,quality food served amazing interesting combinations friendly atmosphere prices
30,KdSfxuBENgiSf14t0mLRUA,bravas-bristol,Bravas,FALSE,10,4.7,1536.245843,['Tapas/Small Plates'],51.4642906,-2.6090536,BS6,heard good things place booked advance booked luckily got space expectations quiet high
31,vbWlkTDRxkz6cX4fYSLnng,the-louisiana-bristol,The Louisiana,FALSE,23,4.3,1728.906803,"['Pubs', 'Music Venues', 'British']",51.446782,-2.59642,BS1 6UA,louisiana one trendy gig venues bristol go along see either local independent bands intimate setting gig
31,vbWlkTDRxkz6cX4fYSLnng,the-louisiana-bristol,The Louisiana,FALSE,23,4.3,1728.906803,"['Pubs', 'Music Venues', 'British']",51.446782,-2.59642,BS1 6UA,live music pub venerable history tour circuit louisiana seen many big acts famous including white
31,vbWlkTDRxkz6cX4fYSLnng,the-louisiana-bristol,The Louisiana,FALSE,23,4.3,1728.906803,"['Pubs', 'Music Venues', 'British']",51.446782,-2.59642,BS1 6UA,pretty decent little pub within spitting distance city centre mean feat though main claim fame tiny room
32,ccpxIbAPc2-u8f_XQPNG6Q,piccolino-bristol,Piccolino,FALSE,21,4,507.7939025,['Italian'],51.45667,-2.58697,BS1 3BZ,business dinner ordered preset menu entire vegetarian menu choose food delicious particularly
32,ccpxIbAPc2-u8f_XQPNG6Q,piccolino-bristol,Piccolino,FALSE,21,4,507.7939025,['Italian'],51.45667,-2.58697,BS1 3BZ,good food drinks great staff decor lovely atmosphere good choices vegetarians convenient location
32,ccpxIbAPc2-u8f_XQPNG6Q,piccolino-bristol,Piccolino,FALSE,21,4,507.7939025,['Italian'],51.45667,-2.58697,BS1 3BZ,piccolinos favourite place go bristol whether drink outside heat lamps comfy seats formal dinner inside
33,9PL6ca42CYFc4BuVBn8tOQ,brasserie-blanc-bristol,Brasserie Blanc,FALSE,12,3.9,431.2918449,"['Brasseries', 'French', 'Venues & Event Spaces']",51.45736,-2.587547,BS1 3DF,first time little disappointing food way salted especially lamb green beans like salt saying
33,9PL6ca42CYFc4BuVBn8tOQ,brasserie-blanc-bristol,Brasserie Blanc,FALSE,12,3.9,431.2918449,"['Brasseries', 'French', 'Venues & Event Spaces']",51.45736,-2.587547,BS1 3DF,one christmas presents meal amazing room wonderfully high ceilings stairs like scene
33,9PL6ca42CYFc4BuVBn8tOQ,brasserie-blanc-bristol,Brasserie Blanc,FALSE,12,3.9,431.2918449,"['Brasseries', 'French', 'Venues & Event Spaces']",51.45736,-2.587547,BS1 3DF,since family started watching raymond blanc bbc two programme 'the restaurant become obsessed signature catchphrase
34,dhpbqlKqdu18c8mLEklEyw,browns-bristol-bristol,Browns Bristol,FALSE,42,3.4,1392.501003,"['Wine Bars', 'British', 'Brasseries']",51.456292,-2.605747,BS8 1RE,browns restaurant housed majestic building modelled doge palace venice located edge clifton village famous
34,dhpbqlKqdu18c8mLEklEyw,browns-bristol-bristol,Browns Bristol,FALSE,42,3.4,1392.501003,"['Wine Bars', 'British', 'Brasseries']",51.456292,-2.605747,BS8 1RE,always loved place visiting daughter studies bristol uni us wife turned friday night hoping squeezed
34,dhpbqlKqdu18c8mLEklEyw,browns-bristol-bristol,Browns Bristol,FALSE,42,3.4,1392.501003,"['Wine Bars', 'British', 'Brasseries']",51.456292,-2.605747,BS8 1RE,mum said place gone hill visit menu solid appetizers haddock fish cake £3.50 spiced cauliflower soup £4.95 billed
35,m0neGIYklEuLd3lMaQvBTw,the-stable-bristol,The Stable,FALSE,20,4,1310.288802,['Pizza'],51.45162009,-2.598212957,BS1 5TX,mixed feelings place 're mad ciders place great 4 beers draft 10+ ciders cider
35,m0neGIYklEuLd3lMaQvBTw,the-stable-bristol,The Stable,FALSE,20,4,1310.288802,['Pizza'],51.45162009,-2.598212957,BS1 5TX,great addition buzzing waterfront bars restaurants 're cider drinker indeed showing city someone never
